TERRITORIO,COD_MUN,TIME_PERIOD,TIME_PERIOD_CODE,MEDIDAS,MEDIDAS_CODE,OBS_VALUE,NOMBRE,ISLA,valor_referencia
La Oliva,35014,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.5,"Oliva, La",Fuerteventura,60.7
La Oliva,35014,2022,2022,Pensiones,PENSIONES,11.2,"Oliva, La",Fuerteventura,60.7
La Oliva,35014,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,"Oliva, La",Fuerteventura,60.7
Pájara,35015,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,71.9,Pájara,Fuerteventura,71.9
Pájara,35015,2022,2022,Otros ingresos,OTROS_INGRESOS,11.9,Pájara,Fuerteventura,71.9
Pájara,35015,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,3.7,Pájara,Fuerteventura,71.9
Pájara,35015,2022,2022,Pensiones,PENSIONES,9.4,Pájara,Fuerteventura,71.9
Pájara,35015,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,Pájara,Fuerteventura,71.9
Puerto del Rosario,35017,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,69.8,Puerto del Rosario,Fuerteventura,69.8
Puerto del Rosario,35017,2022,2022,Otros ingresos,OTROS_INGRESOS,11.4,Puerto del Rosario,Fuerteventura,69.8
Puerto del Rosario,35017,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.1,Puerto del Rosario,Fuerteventura,69.8
Puerto del Rosario,35017,2022,2022,Pensiones,PENSIONES,12.0,Puerto del Rosario,Fuerteventura,69.8
Puerto del Rosario,35017,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,Puerto del Rosario,Fuerteventura,69.8
Tuineje,35030,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,66.7,Tuineje,Fuerteventura,66.7
Tuineje,35030,2022,2022,Otros ingresos,OTROS_INGRESOS,12.0,Tuineje,Fuerteventura,66.7
Tuineje,35030,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.7,Tuineje,Fuerteventura,66.7
Tuineje,35030,2022,2022,Pensiones,PENSIONES,13.4,Tuineje,Fuerteventura,66.7
Tuineje,35030,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,Tuineje,Fuerteventura,66.7
Agaete,35001,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,58.1,Agaete,Gran Canaria,58.1
Agaete,35001,2022,2022,Otros ingresos,OTROS_INGRESOS,10.5,Agaete,Gran Canaria,58.1
Agaete,35001,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,6.3,Agaete,Gran Canaria,58.1
Agaete,35001,2022,2022,Pensiones,PENSIONES,22.4,Agaete,Gran Canaria,58.1
Agaete,35001,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,Agaete,Gran Canaria,58.1
Agüimes,35002,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,66.5,Agüimes,Gran Canaria,66.5
Agüimes,35002,2022,2022,Otros ingresos,OTROS_INGRESOS,9.9,Agüimes,Gran Canaria,66.5
Agüimes,35002,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.4,Agüimes,Gran Canaria,66.5
Agüimes,35002,2022,2022,Pensiones,PENSIONES,15.3,Agüimes,Gran Canaria,66.5
Agüimes,35002,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.0,Agüimes,Gran Canaria,66.5
Artenara,35005,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,59.5,Artenara,Gran Canaria,59.5
Artenara,35005,2022,2022,Otros ingresos,OTROS_INGRESOS,8.4,Artenara,Gran Canaria,59.5
Artenara,35005,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.2,Artenara,Gran Canaria,59.5
Artenara,35005,2022,2022,Pensiones,PENSIONES,24.6,Artenara,Gran Canaria,59.5
Artenara,35005,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.3,Artenara,Gran Canaria,59.5
Arucas,35006,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.7,Arucas,Gran Canaria,64.7
Arucas,35006,2022,2022,Otros ingresos,OTROS_INGRESOS,9.7,Arucas,Gran Canaria,64.7
Arucas,35006,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.3,Arucas,Gran Canaria,64.7
Arucas,35006,2022,2022,Pensiones,PENSIONES,17.9,Arucas,Gran Canaria,64.7
Arucas,35006,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.4,Arucas,Gran Canaria,64.7
Firgas,35008,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,63.3,Firgas,Gran Canaria,63.3
Firgas,35008,2022,2022,Otros ingresos,OTROS_INGRESOS,9.1,Firgas,Gran Canaria,63.3
Firgas,35008,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.9,Firgas,Gran Canaria,63.3
Firgas,35008,2022,2022,Pensiones,PENSIONES,19.1,Firgas,Gran Canaria,63.3
Firgas,35008,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.7,Firgas,Gran Canaria,63.3
Gáldar,35009,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,59.9,Gáldar,Gran Canaria,59.9
Gáldar,35009,2022,2022,Otros ingresos,OTROS_INGRESOS,9.6,Gáldar,Gran Canaria,59.9
Gáldar,35009,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,7.6,Gáldar,Gran Canaria,59.9
Gáldar,35009,2022,2022,Pensiones,PENSIONES,20.2,Gáldar,Gran Canaria,59.9
Gáldar,35009,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.8,Gáldar,Gran Canaria,59.9
Ingenio,35011,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,64.4,Ingenio,Gran Canaria,64.4
Ingenio,35011,2022,2022,Otros ingresos,OTROS_INGRESOS,8.3,Ingenio,Gran Canaria,64.4
Ingenio,35011,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,6.7,Ingenio,Gran Canaria,64.4
Ingenio,35011,2022,2022,Pensiones,PENSIONES,17.5,Ingenio,Gran Canaria,64.4
Ingenio,35011,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.1,Ingenio,Gran Canaria,64.4
Mogán,35012,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,59.4,Mogán,Gran Canaria,59.4
Mogán,35012,2022,2022,Otros ingresos,OTROS_INGRESOS,17.6,Mogán,Gran Canaria,59.4
Mogán,35012,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.1,Mogán,Gran Canaria,59.4
Mogán,35012,2022,2022,Pensiones,PENSIONES,15.8,Mogán,Gran Canaria,59.4
Mogán,35012,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,3.2,Mogán,Gran Canaria,59.4
Moya,35013,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.1,Moya,Gran Canaria,56.1
Moya,35013,2022,2022,Otros ingresos,OTROS_INGRESOS,13.6,Moya,Gran Canaria,56.1
Moya,35013,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,6.7,Moya,Gran Canaria,56.1
Moya,35013,2022,2022,Pensiones,PENSIONES,21.0,Moya,Gran Canaria,56.1
Moya,35013,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.6,Moya,Gran Canaria,56.1
Las Palmas de Gran Canaria,35016,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,58.6,"Palmas de Gran Canaria, Las",Gran Canaria,58.6
Las Palmas de Gran Canaria,35016,2022,2022,Otros ingresos,OTROS_INGRESOS,14.5,"Palmas de Gran Canaria, Las",Gran Canaria,58.6
Las Palmas de Gran Canaria,35016,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,5.0,"Palmas de Gran Canaria, Las",Gran Canaria,58.6
Las Palmas de Gran Canaria,35016,2022,2022,Pensiones,PENSIONES,19.8,"Palmas de Gran Canaria, Las",Gran Canaria,58.6
Las Palmas de Gran Canaria,35016,2022,2022,Prestaciones por desempleo,PRESTACIONES_DESEMPLEO,2.1,"Palmas de Gran Canaria, Las",Gran Canaria,58.6
San Bartolomé de Tirajana,35019,2022,2022,Sueldos y salarios,SUELDOS_SALARIOS,56.9,San Bartolomé de Tirajana,Gran Canaria,56.9
San Bartolomé de Tirajana,35019,2022,2022,Otros ingresos,OTROS_INGRESOS,18.5,San Bartolomé de Tirajana,Gran Canaria,56.9
San Bartolomé de Tirajana,35019,2022,2022,Otras prestaciones,OTRAS_PRESTACIONES,4.4,San Bartolomé de Tirajana,Gran Canaria,56.9
